,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
12,a helicopter,un helicóptero,un hélicoptère,直升飛機,ein Hubschrauber,ヘリコプター (Herikoputa^),un elicottero,een helikopter,вертолет (vertolet),um helicóptero,헬리콥터,ένα ελικόπτερο,المروحية,מסוק,เฮลิคอปเตอร์,helicopterum,ஹெலிகாப்டர்,हेलिकॉप्टर,isang helikopter,en helikopter,et helikopter,helikopter,helikopteri,هلی کوپتر,en helikopter,sebuah helikopter,helikoptéra,helikopter,верталёт,гелікоптер (helіkopter),ሔሊኮፕተር (hhee-li-ko-pe-ta-re),helikopta,хеликоптер,helikopter,helikoptero,Helikopter,un elicopter,1150,690
13,a highway,una carretera,une route,主要交通線,eine Autobahn,高速道路 (Kousokudouro),un'autostrada,een snelweg,дорога (doroga),uma auto-estrada,고속도로,μια εθνική οδός,الطريق السريع,כביש מהיר,ทางหลวง,,நெடுஞ்சாலை,राजमार्ग,isang highway,en motorväg,en motorvei,otoyol,maantie,بزرگراه,en hovedvej,sebuah jalan raya,dálnice,autópálya,дарога,дорога (doroha),አውራ ጎዳና (ʾa-we-raa go-daa-naa),ndia kuu,път,autocesta,ĉefaŭtovojo,Autostrada,o autostradă,1150,470
14,a jet,un avión reactor,un avion à reaction,噴氣式飛機,das Düsenflugzeug /der Jet,ジェット (Jietto),un jet,een straalvliegtuig,реактивный самолет (reaktivnyj samolet),um jacto,제트기,ένα αεριωθούμενο αεροπλάνο,الطائرة,סילון,เครื่องบินเจ็ท,,ஜெட்,जेट वायुयान,isang jet,ett jetplan,et jetfly,jet uçağı,suihkukone,جت,et jetfly,sebuah jet,tryskáč,sugárhajtású gép,рэактыўны самалёт,реактивний літак (reaktyvnyj lіtak),ጄት (jee-te),ndege,реактивен самолет,mlaznjak,reakcia aviadilo,Odrzutowiec,un avion cu reacţie,1150,580
15,a mailbox,un buzón,une boîte aux lettres,郵筒,ein Briefkasten,メールボックス (Me^rubokkusu),una cassetta postale,een postbus,почтовый ящик (pochtovyj jashchik),uma caixa de correio,우체통,μια ταχυδρομική θυρίδα,صندوق البريد,תיבת דואר,ตู้จดหมาย,,அஞ்சல் பெட்டி,डाक-बक्सा,isang lalagyan ng sulat,en postlåda,en postkasse,posta kutusu,postilaatikko,صندوق پستی,en postkasse,sebuah kotak surat,poštovní schránka,postaláda,паштовая скрыня,поштова скринька (poshtova skryn'ka),የፖስታ ሳጥን (ya-po-se-taa saa-the-ne),kidaka barua,пощенска кутия,poštanski sandučić,poŝtkesto,Skrzynka pocztowa,o cutie poştală,1150,360
16,a motorcycle,una moto,une moto,摩托車,ein Motorrad,モーターサイクル (Mo^ta^saikuru),una motocicletta,een motor(fiets),мотоцикл (mototsikl),uma moto,오토바이,μια μοτοσικλέτα,الدراجة البخارية,אופנוע,มอเตอร์ไซค์,autobirota,மோட்டார் சைக்கிள்,मोटर साइकिल,isang motorsiklo,en motorcykel,en motorsykkel,motosiklet,moottoripyörä,موتور سیکلت,en motorcykel,sebuah sepeda motor,motorka,motor,матацыкл,мотоцикл (mototsykl),ሞተር ብስክሌት (mo-ta-re be-se-ke-lee-te),pikipiki,мотоциклет,motocikl,motorciklo,Motocykl,o motocicletă,1150,110
17,a passenger,un pasajero,un passager,乘客,ein Passagier,乗客 (Joukyaku),un passeggero,een passagier,пассажир (passazhir),um passageiro,승객,ένας επιβάτης,المسافر,נוסע,ผู้โดยสาร,vector,பயணிகள்,यात्री,isang pasahero,en passagerare,en passasjer,yolcu,matkustaja,مسافر,en passager,seorang penumpang,pasažér,utas,пасажыр,пасажир (pasazhyr),መንገደኛ (ma-ne-ga-da-nyaa),abiria,пътник,putnik,pasaĝero,Pasażer,pasager,1150,550
18,a path,un sendero,un chemin,人行道,ein Pfad,経路 (Keiro),un sentiero,een pad,путь (put'),um caminho,오솔길,μια πορεία,الطريق,שביל,ทาง,limes,பாதை,पथ,landas,en väg,en sti,yol,,مسیر,en sti,suatu lintasan,pěšina,ösvény,шлях,шлях (shljakh),የእግር መንገድ (ya-ʾe-ge-re ma-ne-ga-de),kinjia,път,put,vojeto-340,Ścieżka,o cărare,1150,340
19,a pedestrian,un peatón,un piéton,行人,ein Fußgänger,歩行者 (Hokousha),un pedone,een voetganger,пешеход (peshekhod),um pedestre,보행자,ένας πεζός,الماشي,הולך רגל,คนเดินถนน,pedester,பாதசாரி,पैदल राही,isang tawiran,en fotgängare,en fotgjenger,yaya,jalankulkija,عابر پیاده,en fodgænger,seorang pejalan kaki,chodec,gyalogos,пешаход,пішохід (pіshokhіd),እግረኛ (ʾe-ge-ra-nyaa),mtembeaji,пешеходец,pješak,piediranto,Pieszy,un pieton,1150,570
20,a platform,una plataforma,une plate-forme,升降台,ein Bahnsteig,プラットホーム (Purattoho^mu),una piattaforma,een perron,платформа (platforma),uma plataforma,승강장,μια πλατφόρμα,الرصيف,רציף,ชานชาลา,,மேடையில்,प्लेटफार्म,isang plataporma,en plattform,en plattform,platform,laituri,سکو,en perron,sebuah peron,nástupiště,fedélzet,платформа,платформа (platforma),መድረክ (ma-de-ra-ke),jukwaa,платформа,peron,kajo,Peron,o platformă,1150,720
21,a port,un puerto,un port,港口,ein Hafen,港 (Minato),un porto,een haven,порт (port),um porto,항구,ένας λιμένας,الميناء,נמל,ท่าเรือ,portus,துறைமுக,बंदरगाह,isang daungan,en hamn,en havn,liman,satama,لنگرگاه,en havn,sebuah pelabuhan,přístav,kikötő,порт,порт (port),ወደብ (wa-da-be),bandari,пристанище,luka,haveno,Port,un port,1150,740
22,a railroad,una vía del tren,une voie ferrée,鐵路,ein Bahngleis,鉄道 (Tetsudou),una ferrovia,een spoorweg,железная дорога (zheleznaja doroga),um caminho de ferro,철로,ένας σιδηρόδρομος,سكة الحديد,מסילת רכבת,ทางรถไฟ,ferrivia,தண்டவாள,रेलमार्ग,daanan ng tren,en järnväg,en jernbane,demir yolu,rautatie,راه‌آهن,en jernbane,sebuah jalan kereta api,koleje,vasút,чыгунка,залізниця (zalіznytsja),የባቡር መንገድ (ya-baa-bu-re ma-ne-ga-de),reli,жп линия,željeznica,fervojo,Tor kolejowy,o cale ferata,1150,320
23,a reception,una sala de recepción,un accueil,招待處,ein Empfang,受付 (Uketsuke),una reception,een receptie,приемная ( в гостинице ) (priemnaja ( v gostinitse )),uma recepção,리셉션,μια υποδοχή,الإستقبال,קבלה,แผนกต้อนรับ,,வரவேற்பு,स्वागत-कक्ष,isang tanggapan,en reception,en resepsjon,kabul alma,vastaanotto,پذیرش,en reception,suatu resepsi,recepce,recepció,прыёмная (у гатэлі),приймальня ( у готелі ) (pryjmal'nja ( u hotelі )),መቀበያ (ma-qa-ba-yaa),pokeo,рецепция,recepcija,akceptejo,recepcja,o recepţie,1150,730
24,a road,un camino,une chaussée,道路,eine Straße,道路 (Douro),una strada,een weg,дорога (doroga),uma estrada,도로,ένας δρόμος,الطريق,דרך,ถนน,via,சாலை,सड़क,daan,en väg,en vei,yol,tie,جاده,en vej,suatu jalan,silnice,út,дарога,дорога (doroha),መንገድ (ma-ne-ga-de),barabara,път,cesta,vojo,Ulica,un drum,1150,590
25,a round trip ticket,un boleto de ida y vuelta,un billet aller-retour,雙程票,eine Rückfahrkarte,往復切符 (Oufukukippu),un biglietto andata-ritorno,een retour,билет туда и обратно (bilet tuda i obratno),um bilhete de ida e volta,왕복 티켓,ένα εισιτήριο μετά επιστροφής,بطاقة ذهاب وإياب,כרטיס הלוך וחזור,ตั๋วไปกลับ,,சுற்று பயணம் டிக்கெட்,वापसी टिकट,isang tiket papunta at pabalik,en tur och retur biljett,en tur/retur-billett,gidiş geliş bileti,menopaluulippu,بلیط رفت و برگشت,en returbillet,sebuah tiket pulang pergi,zpáteční jízdenka,retúrjegy,зваротны білет,квиток туди й назад (kvytok tudy j nazad),የደርሶ መልስ ቲኬት (ya-da-re-so ma-le-se ti-kee-te),Tiketi ya kwenda na kurudi,двупосочен билет,karta za kružno putovanje,bileto tien kaj reen,Bilet w obie strony,un bilet dus-întors,1150,600
26,a route,una ruta,une route,路線,eine Route,ルート (Ru^to),una rotta,een route,маршрут (marshrut),uma rota,길,μια διαδρομή,الطريق,דרך,เส้นทาง,,வழி,मार्ग,isang ruta,en väg,en rute,rota,tie,مسیر,en rute,sebuah rute,trasa,járat,маршрут,маршрут (marshrut),መንገድ (ma-ne-ga-de),njia,маршрут,ruta,vojplano,,o rută,1150,750
27,a sail,un velero,une voile,帆船,ein Segel,帆 (Ho),una vela,een zeil,парус (parus),uma vela,항해,ένα πανί,الشراع,אניה מפרש,เรือใบ,velum,புறப்பட்டது,पाल,isang layag,ett segel,et seil,yelken,purjehtia,بادبان,et sejl,suatu pelayaran,plachta,hajózni,ветразь,вітрило (vіtrylo),የመርከብ ሸራ (ya-ma-re-ka-be sha-raa),tanga,корабно платно,jedro,velo,Żagiel,a naviga,1150,250
28,a seat,un asiento,une place,座椅,ein Platz,席 (Seki),un posto,een plaats,место (mesto),um lugar,좌석,ένα κάθισμα,المقعد,מושב,ที่นั่ง,sedes,இருக்கை,सीट,isang upuan,ett säte,et sete,yer,istuin,صندلی,en plads,sebuah kursi,sedadlo,hely,месца,місце (mіstse),መቀመጫ (ma-qa-ma-chaa),kiti,място (за сядане),sjedalo,sidloko,Siedzenie,un loc,1150,180
29,a ship,un barco,un navire,船,ein Schiff,船 (Fune),una nave,een schip,корабль (korabl'),um barco,배,ένα σκάφος,السفينة,אונייה,เรือ,navis,கப்பல்,समुद्री जहाज़,isang barko,ett skepp,et skip,gemi,laiva,کشتی,et skib,sebuah kapal,loď,hajó,карабель,корабель (korabel'),መርከብ (ma-re-ka-be),jahazi,кораб,brod,ŝipo,Statek,o navă,1150,240
30,a sidewalk,una acera,un trottoir,人行道,ein Gehsteig,歩道 (Hodou),un marciapiede,een stoep/trottoir,тротуар (trotuar),um passeio,보도,ένα πεζοδρόμιο,الرصيف,מדרכה,ทางเท้า,crepido,நடைபாதையில்,फुटपाथ,isang bangketa,en trottoar,et fortau,kaldırım,jalkakäytävä,پیاده‌رو,et fortov,sebuah kaki lima,chodník,járda,тратуар,тротуар (trotuar),የእግር መንገድ (ya-ʾe-ge-re ma-ne-ga-de),njia kando,тротоар,pločnik,trotuaro,Chodnik,un trotuar,1150,300
31,a stadium,un estadio,un stade,運動場,ein Stadion,スタジアム (Sutajiamu),uno stadio,een stadion,стадион (stadion),um estádio,운동장,ένα στάδιο,الملعب,איצטדיון,สนามกีฬา,harena,அரங்கம்,क्रीड़ा स्थल,isang estadyo,ett stadium,en stadion,stadyum,stadion,ورزشگاه,et stadion,sebuah stadion,stadion,stadion,стадыён,стадіон (stadіon),እስታድዮም (ʾe-se-taa-de-yo-me),uwanja,стадион,stadion,stadiono,Stadion,un stadion,1150,760
32,a stop sign,una señal de alto,un stop,停車站,ein Stoppschild,ストップサイン (Sutoppusain),un cartello di stop,een stopteken,знак стоп (znak stop),um sinal de stop,정지 표지판,ένα στοπ,إشارة توقّفْ,עצור,ป้ายสัญญาณหยุด,,நிறுத்தத்தில் அறிகுறி,ठहरो संकेत,isang senyales ng paghinto,en stoppskylt,et stoppeskilt,dur işareti,pysähdysmerkki,علامت ایست,et stopskilt,sebuah tanda berhenti,stopka,stopp tábla,знак стоп,знак стоп (znak stop),የማቆሚያ ምልክት (ya-maa-qo-mi-yaa me-le-ke-te),alama ya kusimama,знак стоп,stop znak,stopsigno,Znak stopu,un stop,1150,480
33,a street,una calle,une rue,街道,eine Straße,通り (Toori),una strada,een straat,улица (ulitsa),uma rua,거리,μια οδός,الشارع,רחוב,ถนน,via,தெரு,गली,isang kalye,en väg,en gate,sokak,katu,خیابان,en gade,suatu jalan,ulice,utca,вуліца,вулиця (vulytsja),ጎዳና (go-daa-naa),ndia,улица,ulica,strato,Ulica,o stradă,1150,210
34,a submarine,un submarino,un sous-marin,潛水艇,ein U-Boot,潜水艦 (Sensuikan),un sottomarino,een onderzeeër,подводная лодка (podvodnaja lodka),um submarino,잠수함,ένα υποβρύχιο,الغوّاصة,צוללת,เรือดำน้ำ,,நீர்மூழ்கி கப்பல்,पनडुब्बी,isang submarino,en ubåt,en ubåt,denizaltı,sukellusvene,زیردریایی,en ubåd,sebuah kapal selam,ponorka,tengeralattjáró,подводная лодка,підводний човен (pіdvodnyj choven),ስርጛድ መርከብ (se-re-ggaa-de ma-re-ka-be),nyambizi,подводница,podmornica,submarŝipo,Łódź podwodna,un submarin,1150,260
35,a taxi,un taxi,un taxi,計程車,ein Taxi,タクシー (Takushi^),un taxi,een taxi,такси (taksi),um táxi,택시,ένα ταξί,سيارة الأجرة,מונית,แท็กซี่,taxiraedarius,டாக்ஸி,टैक्सी,isang taksi,en taxi,en taxi,taksi,taksi,تاکسی,en taxa,sebuah taksi,taxi,taxi,таксі,таксі (taksі),ታክሲ (taa-ke-si),teksi,такси,taksi,taksio,Taksówka,un taxi,1150,700
36,a theft,un robo,un vol,竊盜,ein Diebstahl,窃盗 (Settou),un furto,een diefstal,кража (krazha),um roubo,절도,μια κλοπή,السرقة,גניבה,การขโมย,furtum,திருட்டு,चोरी,pagnanakaw,en stöld,et tyveri,hırsızlık,varkaus,سرقت,et tyveri,suatu pencurian,krádež,lopás,крадзеж,крадіжка (kradіzhka),ሌብነት (lee-be-na-te),wizi,кражба,krađa,ŝtelo,Kradzież,un furt,1150,650
37,a ticket,un boleto,un billet,入場券,eine Fahrkarte,チケット (Chiketto),un biglietto,een kaartje,билет (bilet),um bilhete,표,ένα εισιτήριο,التذكرة,כרטיס,ตั๋ว,tessera,டிக்கெட்,टिकट,isang tiket,en biljett,en billett,bilet,lippu,بلیط,en billet,sebuah tiket,jízdenka,jegy,квіток,квиток (kvytok),ቲኬት (ti-kee-te),tiketi,билет,karta,bileto,Bilet,un bilet,1150,190
38,a tow truck,una grúa,une dépanneuse,拖車,ein Abschleppwagen,レッカー車 (Rekka^Kuruma),un carro attrezzi,een sleepwagen,эвакуатор (evakuator),uma grua,견인트럭,ένα φορτηγό ρυμούλκησης,شاحنة سحبِ,גרר,รถลาก,,இழுவை ட்ரக்,पिछला वाहन घसीटने वाला ट्र्क,sasakyang panghila,en bogseringsbil,en slepebil,çekici araç,hinausauto,کامیون یدک کش,en kranvogn,sebuah truk derek,tažný vůz,autómentő,эвакуатар,евакуатор (evakuator),መኪና መጎተቻ (ma-ki-naa ma-go-ta-caa),matwana,аварийна кола,pauk,tirveturilo,auto pomocy drogowej,o maşină de depanare,1150,280
39,a trail,un sendero,une voie,拖著走,ein Pfad,道 (Michi),un sentiero,een pad,тропинка (tropinka),uma via,산책로,ένα μονοπάτι,الأثر,נתיב,ทางเดิน,,பாதை,मार्ग,landas,ett spår,et spor,patika,polku,گذرگاه,en sti,sebuah jalan kecil,stezka,sáv,сцежка,стежка (stezhka),የእግር መንገድ (ya-ʾe-ge-re ma-ne-ga-de),liwado,пътека,trag,vojeto-850,Szlak,o urmă,1150,850
40,a trailer,un remolque,une remorque,活動房屋拖車,ein Anhänger,トレーラ (Tore^ra),un rimorchio,een aanhanger,трейлер (trejler),um reboque,트레일러,μια ρυμούλκα,المقطورة,קרוואן,รถเทรลเลอร์,,டிரைலர்,झलकी,isang treyler,en vagn,en vogn,tır,perävaunu,تریلر,en trailer,sebuah kereta gandeng,přívěs,utánfutó,трэйлер,трейлер (trejler),ተሳቢ (ta-saa-bi),treli,ремарке,prikolica,remorko,Przyczepa,o remorcă,1150,220
41,a train,un tren,un train,列車,ein Zug,列車 (Ressha),un treno,een trein,поезд (poezd),um comboio,기차,ένα τραίνο,القطار,רכבת,รถไฟ,tramen,ரயில்,रेलगाड़ी,isang tren,ett tåg,et tog,tren,juna,قطار,et tog,sebuah kereta api,vlak,vonat,цягнік,поїзд (poyizd),ባቡር (baa-bu-re),gari moshi,влак,vlak,trajno,Pociąg,un tren,1150,130
42,a train station,una estación de trenes,la gare,火車站,ein Bahnhof,鉄道駅 (Tetsudoueki),una stazione,een station,вокзал (vokzal),uma estação de comboios,기차역,ένας σταθμός τραίνων,محطة قطارِ,תחנת רכבת,สถานีรถไฟ,,ரயில் நிலையம்,रेलवे स्टेशन,isang istasyon ng tren,en tågstation,en togstasjon,tren istasyonu,juna-asema,ایستگاه قطار,en togstation,sebuah stasiun kereta,vlakové nádraží,vasútállomás,вакзал,вокзал (vokzal),ባቡር ጣቢያ (baa-bu-re thaa-bi-yaa),kituo cha gari moshi,гара,kolodvor,stacidomo,Dworzec kolejowy,o gară,1150,150
43,a tram,un tranvía,un tramway,電車,eine Straßenbahn,路面電車 (Romendensha),un tram,een tram,трамвай (tramvaj),um eléctrico,경전철,ένα τραμ,الترام,חשמלית,รถราง,,டிராம்,ट्राम,isang bagon,en spårvagn,en trikk,tramvay,raitiovaunu,تراموا,en sporvogn,sebuah trem,tramvaj,villamos,трамвай,трамвай (tramvaj),ባቡር (baa-bu-re),,трамвай,tramvaj,tramo,Tramwaj,un tramvai,1150,680
44,a turn,una vuelta,un tour,轉彎,eine Kurve,回転 (Kaiten),una svolta,een bocht,поворот (povorot),uma volta,회전,μια στροφή,الدور,סיבוב,ทางเลี้ยว,vicis,திருப்ப,मोड़,buwelta,en sväng,en sving,dönüş,käännös,نوبت,et sving,suatu belokan,zatáčka,kanyar,паварот,поворот (povorot),መጠምዘዝ (ma-tha-me-za-ze),pinduko,завой,skretanje,turno,Zakręt,o intoarcere,1150,520
45,a van,un furgón,un van,大貨車,ein Kleinbus,バン (Ban),un furgone,een van,фургон (furgon),uma carrinha,밴,ένα φορτηγό,الشاحنة,טנדר,รถตู้,,வேன்,वैन,isang van,en skåpbil,en varebil,minibüs,pakettiauto,ون,en varevogn,sebuah van,minibus,teherautó,фургон,фургон (furhon),የጭነት መኪና (ya-che-na-te ma-ki-naa),teksi,микробус,kombi,kamioneto,Furgonetka,o furgonetă,1150,770
46,a vehicle,un vehículo,un véhicule,交通工具,ein Fahrzeug,乗り物 (Norimono),un veicolo,een voertuig,транспортное средство (transportnoe sredstvo),um veículo,교통수단,ένα όχημα,العربة,רכב,พาหนะ,vehiculum,வாகனம்,वाहन,isang sasakyan,ett fordon,et kjøretøy,araç,ajoneuvo,وسیله نقلیه,et køretøj,sebuah kendaraan,dopravní prostředek,jármű,транспартны сродак,транспортний засіб (transportnyj zasіb),ተሽከርካሪ (ta-she-ka-re-kaa-ri),motokaa,превозно средство,vozilo,veturilo,Pojazd,un vehicul,1150,350
47,a zoo,un zoológico,un zoo,動物園,ein Tierpark,動物園 (Doubutsuen),uno zoo,een dierentuin,зоопарк (zoopark),um zoológico,동물원,ένας ζωολογικός κήπος,حديقة الحيوانات,גן חיות,สวนสัตว์,,உயிரியல் பூங்காவில்,चिड़ियाघर,isang zoo,ett zoo,en dyrehage,hayvanat bahçesi,eläintarha,باغ وحش,en zoologisk have,sebuah kebun binatang,zoologická zahrada,állatkert,заапарк,зоопарк (zoopark),የአራዊት መጠበቂያ (ya-ʾa-raa-wi-te ma-tha-ba-qi-yaa),mbuga la wanyama,зоологическа градина,zoološki vrt,zoo,Zoo,o grădină zoologică,1150,780
48,an accident,un accidente,un accident,不測事件,ein Unfall,事故 (Jiko),un incidente,een ongeluk,авария (avarija),um acidente,사고,ένα ατύχημα,حادث,תאונה,อุบัติเหตุ,accidens,விபத்து,दुर्घटना,isang aksidente,en olycka,en ulykke,kaza,onnettomuus,تصادف,en ulykke,suatu kecelakaan,nehoda,baleset,аварыя,аварія (avarіja),አደጋ (ʾa-da-gaa),ajali,злополука,nesreća,akcidento,Wypadek,un accident,1150,790
49,an advertisement,un anuncio,une publicité,廣告,eine Anzeige,広告 (Koukoku),una pubblicità,een advertentie,объявление (ob'javlenie),um anúncio,광고,μια διαφήμιση,إعلان,פרסומת,โฆษณา,praeconium,விளம்பரம்,विज्ञापन,isang anunsyo,en reklam,en reklame,reklam,mainos,تبلیغات,en annonce,sebuah iklan,inzerát,reklám,аб`ява,оголошення (oholoshennja),ማስታወቂያ (maa-se-taa-wa-qi-yaa),,обява,reklama,anonco,Reklama,o reclamă,1150,800
50,an airplane,un avión,un avion,飛機,ein Flugzeug,飛行機 (Hikouki),un aeroplano,een vliegtuig,самолет (samolet),um avião,비행기,ένα αεροπλάνο,طائرة,מטוס,เครื่องบิน,aeroplanum,விமானம்,हवाई जहाज़,isang eroplano,ett flygplan,et fly,uçak,lentokone,هواپیما,en flyvemaskine,sebuah pesawat terbang,letadlo,repülőgép,летак,літак (lіtak),አሮፕላን (ʾa-ro-pe-laa-ne),ndege,самолет,zrakoplov,aviadilo,Samolot,un avion,1150,170
51,an airport,un aeropuerto,un aéroport,飛機場,ein Flughafen,空港 (Kuukou),un aeroporto,een luchthaven,аэропорт (aeroport),um aeroporto,공항,ένας αερολιμένας,مطار,נמל תעופה,สนามบิน,aeriportus,விமான நிலையம்,हवाई अड्डा,isang paliparan,en flygplats,en flyplass,hava limanı,lentokenttä,فرودگاه,en lufthavn,sebuah bandara,letiště,repülőtér,аэрапорт,аеропорт (aeroport),የአሮፕላን ማረፊያ (ya-ʾa-ro-pe-laa-ne maa-ra-fi-yaa),uwanja wa ndege,летище,zračna luka,flughaveno,Lotnisko,un aeroport,1150,160
52,an avenue,una avenida,une avenue,狹窄的徑,eine Allee,大通り (Oodoori),un viale,een laan,авеню (avenju),uma avenida,거리,μια λεωφόρος,درب,שדרה,ถนนใหญ่,porta,மார்க்கம்,पथ,isang abenida,en aveny,en aveny,cadde,puistokatu,خیابان,en boulevard,sebuah jalan raya,bulvár,sugárút,авеню,авеню (avenju),ጎዳና (go-daa-naa),ndia,авеню,avenija,avenuo,Aleja,un bulevard,1150,810
53,an intersection,una intersección,un carrefour,交叉點,eine Kreuzung,交差点 (Kousaten),un incrocio,een kruising,перекресток (perekrestok),um cruzamento,교차로,μια διαστάυρωση,تقاطع,צומת,สี่แยก,commissura,வெட்டும்,"मार्ग विभाजक, चौराहा",isang salikop na daan,en vägkorsning,et veikryss,dört yol ağzı,risteys,چهارراه,et vejkryds,suatu persimpangan,křižovatka,útkereszteződés,скрыжаванне,перехрестя (perekhrestja),መስቀለኛ መንገድ (ma-se-qa-la-nyaa ma-ne-ga-de),kutano,пресечка,raskrižje,stratkruĉiĝo,Skrzyżowanie,o intersecţie,1150,330
54,an underground,un metro,le métro,地下的,eine U-Bahn,地下 (Chika),una metropolitana,de metro,метрополитен (metropoliten),um metro,지하철,ένας υπόγειος,تحت أرضي,רכבת תחתית,รถไฟใต้ดิน,,நிலத்தடி,भूमिगत,sa ilalim ng lupa,en tunnelbana,en undergrunnsbane,metro,metro,مترو,en undergrundsbane,suatu bawah tanah,metro,metró,метрапалітэн,метрополітен (metropolіten),በመሬት ውስጥ ለውስጥ የሚሄድ (ba-ma-ree-te we-se-the la-we-se-the ya-mi-hee-de),njia ya chini,метро,podzemna željeznica,metroo,Metro,un metrou,1150,670
55,at top speed,a velocidad máxima,à toute vitesse,極速,mit Höchstgeschwindigkeit,全速力で (ZensokuryokuDe),a tutta velocità,op topsnelheid,на полной скорости (na polnoj skorosti),à velocidade máxima,최고 속도로,με την ανώτατη ταχύτητα,في السرعةِ القصوى,במהירות גבוהה,ด้วยความเร็วสูง,,உயர் வேகத்தில்,द्रुत गति से,sa pinakamabilis,vid toppfart,i toppfart,son hızda,huippunopeus,در سرعت بالا,med speederen i bund,dgn kecepatan maksimum,maximální rychlostí,maximális sebesség,на поўнай хуткасці,з повною швидкістю (z povnoju shvydkіstju),በከፍተኛ ፍጥነት (ba-ka-fe-ta-nyaa fe-the-na-te),kasi ya juu,с пълна скорост,po najvećoj brzini,kun plena rapideco,Z maksymalną prędkością,la viteză maximă,1150,400
56,damaged,defectuoso,accidenté,被損壞的,beschädigt,破損 (Hason),danneggiato,beschadigd,поврежденный (povrezhdennyj),defeituoso,손상된,χαλασμένο,متضرّر,פגום,สร้างความเสียหาย,calamitosus,சேதமடைந்த,क्षतिग्रस्त,pinsala,skadad,skadet,hasar görmüş,vahingoittunut,آسیب‌دیده,beskadiget,rusak,poškozený,károsodott,пашкоджанны,ушкоджений (ushkodzhenyj),የተበላሸ (ya-ta-ba-laa-sha),peketeka,повреден,oštećen,difektita,Zniszczony,stricat,1150,270
57,dangerous,peligroso,dangereux,危險的,gefährlich,危険 (Kiken),pericoloso,gevaarlijk,опасный (opasnyj),perigoso,위험한,επικίνδυνος,خطر,מסוכן,อันตราย,periculosus,ஆபத்தான,खतरनाक,delikado,farligt,farlig,tehlikeli,vaarallinen,خطرناک,farlig,berbahaya,nebezpečný,veszélyes,небяспечны,небезпечний (nebezpechnyj),አደገኛ (ʾa-da-ga-nyaa),hatari,опасен,opasan,danĝera,Niebezpieczny,periculos,1150,530
58,departure,salida,le départ,離去,Abfahrt,出発 (Shuppatsu),partenza,vertrek,отправление (otpravlenie),partida,출발,αναχώρηση,المغادرة,יציאה,การจากไป,exitus,புறப்பாடு,प्रस्थान,pagalis,avresa,avgang,hareket etme,lähtö,عزیمت,afgang,keberangkatan,odjezd,indulás,адпраўленне,відправлення (vіdpravlennja),መነሻ (ma-na-shaa),ondokeo,отпътуване,odlazak,forveturo,Odlot,plecare,1150,560
59,entrance,entrada,une entrée,進入口,ein Eingang,入り口 (Iriguchi),entrata,een ingang,вход (vkhod),uma entrada,입구,είσοδος,المدخل,כניסה,ทางเข้า,vestibulum,நுழைவாயில்,प्रवेश,pasukan,ingång,inngang,giriş,sisäänkäynti,ورودی,indgang,pintu masuk,vstup,bejárat,уваход,вхід (vkhіd),መግቢያ (ma-ge-bi-yaa),kiingilio,вход,ulaz,eniro,Wejście,intrare,1150,820
60,environs,alrededores,environs,周邊,Umgebung,近郊 (Kinkou),dintorni,omstreken,окрестности (okrestnosti),arredores,주변 지역,πέριξ,الضواحي,פרברים,บริเวณ,circumiectum,சுற்றுப்புற இடங்கள்,परिप्रदेश,paligid-ligid,omgivning,omgivelse,çevre,ympäristö,حومه,omegn,daerah sekitar,okolní prostředí,környék,наваколле,околиці (okolytsі),ዙሪያ (zu-ri-yaa),viunga,околности,okolica,ĉirkaŭaĵo,Okolice,împrejurimi,1150,840
61,exit,salida,une sortie,出口,ein Ausgang,出口 (Deguchi),uscita,een uitgang,выход (vykhod),uma saída,출구,έξοδος,الخروج,יציאה,ทางออก,abitus,மரணம்,निकास-द्वार,labasan,utgång,utgang,çıkış,uloskäynti,خروجی,udgang,pintu keluar,východ,kijárat,выхад,вихід (vykhіd),መውጫ (ma-we-chaa),toka,изход,izlaz,eliro,Wyjście,ieşire,1150,830
62,fast,rápido,rapide,快速的,schnell,速い (Hayai),veloce,snel,быстрый (bystryj),rápido,빨리,γρήγορος,سريع,מהיר,เร็ว,celer,வேகமாக,"तेज़, द्रुत",mabilis,fort,fort,hızlı,nopea,سریع,hurtig,cepat,rychlý,gyors,хуткі,швидкий (shvydkyj),ፈጣን (fa-thaa-ne),mbio,бърз,brz,rapida-500,Szybki,rapid,1150,500
63,handcuffs,esposas,des menottes,手銬,Handschellen,手錠 (Tejou),manette,handboeien,наручники (naruchniki),algemas,수갑,χειροπέδες,الأصفاد,אזיקים,กูญแจมือ,manica,கைவிலங்கு,हथकड़ी,posasan,handklovar,håndjern,kelepçe,käsiraudat,دستبند آهنین,håndjern,borgol,pouta na ruce,bilincs,кайданы,наручники (naruchnyky),የእጅ ካቴናዎች (ya-ʾe-je kaa-tee-naa-wo-ce),pingu,белезници,lisice,mankateno,Kajdanki,cătuşe,1150,620
